Hospital_ID,State,District,City,Hospital_Rating,District_Avg_Rating,Hospital_Score,Affordability_Score,Suitable_For_Disease,Recommendation
Hospital #0,Andhra Pradesh,Ananthapuramu,Anantpur,4.1,4.5,5.56,9.08,"General Medicine, Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #1,Andhra Pradesh,Ananthapuramu,Anantpur,4.9,4.5,6.43,9.86,"General Medicine, Cardiac Care, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care",Recommended
Hospital #60,Karnataka,Bangalore Rural,Nelamangala,4,4,5.37,8.92,"General Medicine, Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #2,Andhra Pradesh,Chittoor,Chitoor,3.9,3.95,5.28,8.87,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #3,Andhra Pradesh,Chittoor,Chittoor,4,3.95,5.39,8.97,"General Medicine, Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #4,Andhra Pradesh,East Godavari,East Godavari,4.8,4.73,6.26,9.64,"General Medicine, Cardiac Care, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #5,Andhra Pradesh,East Godavari,East Godavari,4.4,4.73,5.82,9.25,"General Medicine, Cardiac Care, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #85,Andhra Pradesh,East Godavari,Rajahmundry,5,4.73,6.48,9.83,"General Medicine, Cardiac Care, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #10,Andhra Pradesh,Guntur,Guntur,4.8,4,6.53,9.6,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #11,Andhra Pradesh,Guntur,Guntur,4.3,4,5.98,9.11,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #12,Andhra Pradesh,Guntur,Guntur,4,4,5.66,8.82,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #13,Andhra Pradesh,Guntur,Guntur,3.1,4,4.67,7.94,Diabetes Management,Moderate
Hospital #14,Andhra Pradesh,Guntur,Guntur,3,4,4.56,7.85,Diabetes Management,Moderate
Hospital #15,Andhra Pradesh,Guntur,Guntur,2.7,4,4.23,7.55,Diabetes Management,Moderate
Hospital #16,Andhra Pradesh,Guntur,Guntur,3.4,4,5,8.24,Diabetes Management,Recommended
Hospital #17,Andhra Pradesh,Guntur,Guntur,4.7,4,6.42,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #18,Andhra Pradesh,Guntur,Guntur,4.6,4,6.31,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #19,Andhra Pradesh,Guntur,Guntur,4.7,4,6.42,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #20,Andhra Pradesh,Guntur,Guntur,4.4,4,6.09,9.21,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #21,Andhra Pradesh,Guntur,Guntur,4,4,5.66,8.82,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #22,Andhra Pradesh,Guntur,Guntur,4.6,4,6.31,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #23,Andhra Pradesh,Guntur,Guntur,4.3,4,5.98,9.11,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #24,Andhra Pradesh,Guntur,Guntur,4.2,4,5.88,9.02,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #25,Andhra Pradesh,Guntur,Guntur,3.2,4,4.78,8.04,Diabetes Management,Moderate
Hospital #26,Andhra Pradesh,Guntur,Guntur,4.6,4,6.31,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #27,Andhra Pradesh,Guntur,Guntur,2.6,4,4.12,7.46,Diabetes Management,Moderate
Hospital #28,Andhra Pradesh,Guntur,Guntur,4.8,4,6.53,9.6,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #29,Andhra Pradesh,Guntur,Guntur,3.2,4,4.78,8.04,Diabetes Management,Moderate
Hospital #30,Andhra Pradesh,Guntur,Guntur,5,4,6.75,9.8,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #31,Andhra Pradesh,Guntur,Guntur,2.7,4,4.23,7.55,Diabetes Management,Moderate
